Paper_ID,Organism,Substrate,Substrate_Category,Temp_C,pH,Time_h,Reactor_Type,Culture_Type,Process_Mode,Continuous_System,Thermophilic,Electrofermentation,Photofermentation,Nanomaterial_Assisted,HRT_h,OLR_gL_d,Hydrogen_Yield,Yield_Unit,HPR,HPR_units,Metabolites,HPR_mL_L_h_standardized,Standardized_HPR_Unit
Ref126,Enterobacter aerogenes 2822,Cheese whey,Dairy_Waste,31.0,6.5,104,Batch,PureCulture,Batch,0,0,0,0,0,,,0.26,molH2_molLactose,,,,,mL_H2_L_h
RSE2018_T2_02,Enterobacter_cloacae,Glucose,,36.0,6.0,,Batch,,Batch,0,0,0,0,0,,,2.2,molH2_molGlucose,447.0,cm3_H2_L_h,Mixed acids,447.0,mL_H2_L_h
MartinezMendoza2024_16h,MixedCulture,FruitVegetableWaste,Food_Waste,37.0,7.0,,Continuous_CSTR,MixedCulture,Continuous,1,0,0,0,0,16.0,70.6,54.6,NmLH2_gVSfed,162.5,mL_L-1_h-1,,162.5,mL_H2_L_h
Zagrodnik2024_SE3_MPC,MPC,DFE,VFA_Effluent,32.0,7.5,15,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,252.0,0.25,3.07,molH2_molSugar,3.79,mL_L-1_h-1,,3.79,mL_H2_L_h
RSE2018_T3_11,Facultative_anaerobic_bacteria,Raw_cassava_starch,,35.0,,,Batch,,Batch,0,0,0,0,0,,,1.44,molH2_molGlucose,,,"Butyrate,Acetate,Ethanol",,mL_H2_L_h
Ref126,Enterobacter aerogenes 2822,Cheese whey,Dairy_Waste,31.0,6.5,104,Batch,PureCulture,Batch,0,0,0,0,0,,,0.26,molH2_molLactose,,,,,mL_H2_L_h
RSE2018_T4_04,Anaerobic_sludge,Potato_and_pumpkin_waste_with_buffalo_manure,,35.0,7.5,,Batch,,Batch,0,0,0,0,0,,,135.6,cm3_H2_gVS,,,"Acetate,Propionate,Butyrate",,mL_H2_L_h
Ref86,Clostridium butyricum DSM10702,Glucose,Simple_Sugar,37.0,5.5,12,Hybrid,PureCulture,Hybrid,1,0,0,0,0,,,2.61,molH2_molGlucose,,,,,mL_H2_L_h
Zagrodnik2024_CC1_RSC,RSC,Sugar mix,Lignocellulosic_Sugars,32.0,7.0,9,Continuous_CSTR,MixedCulture,CoCulture,1,0,0,0,0,84.0,1.43,2.88,molH2_molSugar,25.83,mL_L-1_h-1,,25.83,mL_H2_L_h
Ref83,Clostridium butyricum NRRL_B4112,Glycerol,Alcohol,37.0,,168,Batch,PureCulture,Batch,0,0,0,0,0,,,1.02,molH2_molGlycerol,,,,,mL_H2_L_h
RSE2018_T4_01,Mixed_cultures_from_anaerobic_digester,Liquid_swine_manure,,37.0,5.0,,ASBR,,Batch,0,0,0,0,0,,,1.63,molH2_molGlucose,0.1,dm3_H2_L_h,"Acetate,Butyrate",100.0,mL_H2_L_h
Ref137,Klebsiella pneumoniae ABZ11,Glucose,Simple_Sugar,34.0,6.8,48,Batch,PureCulture,Batch,0,0,0,0,0,,,2.71,molH2_molGlucose,,,,,mL_H2_L_h
Zagrodnik2024_SE1_MPC,MPC,Sterile DFE,VFA_Effluent,32.0,7.5,20,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,84.0,0.76,2.83,molH2_molSugar,9.25,mL_L-1_h-1,,9.25,mL_H2_L_h
Ref79,Clostridium butyricum CWBI1009,Glucose,Simple_Sugar,30.0,7.3,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.43,molH2_molGlucose,,,,,mL_H2_L_h
Ref75A,Clostridium butyricum CCT7470,Cellulose,Lignocellulose,37.0,,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.19,molH2_molCellulose,,,,,mL_H2_L_h
Ref143,Escherichia coli K12,Garden waste,Lignocellulose,33.0,,,Batch,PureCulture,Batch,0,0,0,0,0,,,2.73,molH2_molCellulose,,,,,mL_H2_L_h
Ref128,Klebsiella pneumoniae ECU15,"Glucose,Xylose,Cellobiose",Mixed_Sugars,37.0,6.0, ,Batch,PureCulture,Batch,0,0,0,0,0,,,2.07,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T3_10,Anaerobic_sludge_from_digester,Mixed_food_waste,,50.0,7.5,,Batch,,Batch,0,1,0,0,0,,,57.0,cm3_H2_gVS,54.2,cm3_H2_h,Mixed acids,54.2,mL_H2_L_h
Ref132,Klebsiella pneumoniae TR17,Glycerol,Alcohol,40.0,8.0,24,Batch,PureCulture,Batch,0,0,0,0,0,,,0.25,molH2_molGlycerol,,,,,mL_H2_L_h
Ref145,Escherichia coli W3110,Hemicellulosic hydrolysates,Lignocellulose,31.0,8.2,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.44,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T2_05,Mixed_culture,Glucose,,36.0,5.5,,CSTR,,Continuous,0,0,0,0,0,6.0,,2.1,molH2_molGlucose,,,Butyrate,,mL_H2_L_h
Ref74,Clostridium butyricum CGS2,Glucose,Simple_Sugar,37.0,6.8,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.95,molH2_molGlucose,,,,,mL_H2_L_h
Ref105,Clostridium pasteurianum MTCC116,Glucose,Simple_Sugar,37.0,6.6,96,Batch,PureCulture,Batch,0,0,0,0,0,,,0.0036,molH2_molGlucose,,,,,mL_H2_L_h
Ref129,Klebsiella pneumoniae MGH78578,Brewery wastewater,Industrial_Waste,35.0,5.5,72,Batch,PureCulture,Batch,0,0,0,0,0,,,1.235,molH2_molGlucose,,,,,mL_H2_L_h
Ref125,Enterobacter aerogenes IAM1183,Glucose,Simple_Sugar,37.0,,20,Batch,PureCulture,Batch,0,0,0,0,0,,,1.34,molH2_molGlucose,,,,,mL_H2_L_h
Ref153,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.15,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T4_01,Mixed_cultures_from_anaerobic_digester,Liquid_swine_manure,,37.0,5.0,,ASBR,,Batch,0,0,0,0,0,,,1.63,molH2_molGlucose,0.1,dm3_H2_L_h,"Acetate,Butyrate",100.0,mL_H2_L_h
Ref67,Clostridium butyricum TM-9A,Glucose,Simple_Sugar,37.0,8.0,24,Batch,PureCulture,Batch,0,0,0,0,0,,,3.1,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T4_03,Clostridium_sp,Dairy_manures,,36.0,5.0,,CSABR,,Continuous,0,0,0,0,0,,,31.5,cm3_H2_gTVS,,,"Butyrate,Acetate,Ethanol",,mL_H2_L_h
MartinezMendoza2024_24h,MixedCulture,FruitVegetableWaste,Food_Waste,37.0,7.0,,Continuous_CSTR,MixedCulture,Continuous,1,0,0,0,0,24.0,47.0,66.6,NmLH2_gVSfed,129.17,mL_L-1_h-1,,129.17,mL_H2_L_h
Ref155,Escherichia coli HD701,"Glucose,Sucrose,Starch",Mixed_Sugars,35.0,7.0,,Batch,PureCulture,Batch,0,0,0,0,0,,,2.0,molH2_molGlucose,,,,,mL_H2_L_h
Ref70,Clostridium butyricum SP4,Hexose and pentose,Mixed_Sugars,30.0,,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.225,molH2_molSugar,,,,,mL_H2_L_h
MartinezMendoza2024_24h,MixedCulture,FruitVegetableWaste,Food_Waste,37.0,7.0,,Continuous_CSTR,MixedCulture,Continuous,1,0,0,0,0,24.0,47.0,66.6,NmLH2_gVSfed,129.17,mL_L-1_h-1,,129.17,mL_H2_L_h
RSE2018_T5_10,Mixed_culture_UASB,Cassava_starch_wastewater,,30.0,5.5,,Batch,,Batch,0,0,0,0,0,,,1.58,molH2_molHexose,12.87,cm3_H2_L_h,Mixed acids,12.87,mL_H2_L_h
Ref117,Clostridium thermocellum KJC315,Cellobiose,Disaccharide,60.0,7.0,24,Batch,PureCulture,Batch,0,1,0,0,0,,,3.26,molH2_molHexose,,,,,mL_H2_L_h
Ref79,Clostridium butyricum CWBI1009,Glucose,Simple_Sugar,30.0,7.3,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.43,molH2_molGlucose,,,,,mL_H2_L_h
Ref146C,Escherichia coli WDHL,Galactose,Simple_Sugar,37.0,6.0,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.12,molH2_molGalactose,,,,,mL_H2_L_h
Ref123,Enterobacter aerogenes ATCC13408,Glucose,Simple_Sugar,37.0,6.0,,Batch,PureCulture,Nanomaterial_Assisted,0,0,0,0,1,,,1.435,molH2_molGlucose,,,,,mL_H2_L_h
Ref80,Clostridium butyricum TERI BH05-2 in recombinant E.coli,Glucose,Simple_Sugar,37.0,7.0,48,Batch,Recombinant,Batch,0,0,0,0,0,,,3.2,molH2_molGlucose,,,,,mL_H2_L_h
Ref110,Clostridium pasteurianum CH5,Xylose,Pentose,35.0,6.8,,Batch,PureCulture,Nanomaterial_Assisted,0,0,0,0,1,,,1.46,molH2_molXylose,,,,,mL_H2_L_h
Ref130,Klebsiella pneumoniae ECU15,Glucose,Simple_Sugar,37.0,6.0,,Batch,PureCulture,Batch,0,0,0,0,0,,,1.22,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T2_05,Mixed_culture,Glucose,,36.0,5.5,,CSTR,,Continuous,0,0,0,0,0,6.0,,2.1,molH2_molGlucose,,,Butyrate,,mL_H2_L_h
Ref128,Klebsiella pneumoniae ECU15,"Glucose,Xylose,Cellobiose",Mixed_Sugars,37.0,6.0, ,Batch,PureCulture,Batch,0,0,0,0,0,,,2.07,molH2_molGlucose,,,,,mL_H2_L_h
Ref52,Clostridium beijerincki,Dextrose,Simple_Sugar,37.0,7.5,96,Batch,PureCulture,Batch,0,0,0,0,0,,,3.58,molH2_molDextrose,,,,,mL_H2_L_h
RSE2018_T6_07,Caldicellulosiruptor_saccharolyticus_DSM8903,Switchgrass,,65.0,,,Batch,,Batch,0,1,0,0,0,,,310.0,cm3_H2_gDB,0.1,mmol_H2_L_h,"Acetate,Succinic_acid",2.24,mL_H2_L_h
RSE2018_T3_04,Anaerobic_digester_sludge,Kitchen_garbage,,55.0,5.0,,CSTR,,Continuous,0,1,0,0,0,,,66.0,cm3_H2_gVS,1.7,dm3_H2_L_d,"Butyrate,Acetate,Ethanol",70.83333333,mL_H2_L_h
Ref114,Clostridium thermocellum DSM1237,Cellulose,Lignocellulose,60.0,7.35,,Batch,PureCulture,Batch,0,1,0,0,0,,,1.3,molH2_molHexose,,,,,mL_H2_L_h
RSE2018_T6_10,Caldicellulosiruptor_saccharolyticus,Corn_leaves,,70.0,,,Batch,,Batch,0,1,0,0,0,,,1.8,molH2_molGlucose,15.33,dm3_H2_kg,Mixed acids,15.33,mL_H2_L_h
Ref80,Clostridium butyricum TERI BH05-2 in recombinant E.coli,Glucose,Simple_Sugar,37.0,7.0,48,Batch,Recombinant,Batch,0,0,0,0,0,,,3.2,molH2_molGlucose,,,,,mL_H2_L_h
Ref118,Clostridium thermocellum DSM1313,Cellulose,Lignocellulose,55.0,7.0,192,Batch,PureCulture,Batch,0,1,0,0,0,,,1.15,molH2_molHexose,,,,,mL_H2_L_h
Zagrodnik2024_SE4_RSC,RSC,DFE,VFA_Effluent,32.0,7.5,11,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,126.0,0.25,3.63,molH2_molSugar,5.46,mL_L-1_h-1,,5.46,mL_H2_L_h
Ref137,Klebsiella pneumoniae ABZ11,Glucose,Simple_Sugar,34.0,6.8,48,Batch,PureCulture,Batch,0,0,0,0,0,,,2.71,molH2_molGlucose,,,,,mL_H2_L_h
Zagrodnik2024_SE8_RSC,RSC,DFE,VFA_Effluent,32.0,7.0,9,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,84.0,0.76,3.29,molH2_molSugar,13.33,mL_L-1_h-1,,13.33,mL_H2_L_h
Ref75A,Clostridium butyricum CCT7470,Cellulose,Lignocellulose,37.0,,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.19,molH2_molCellulose,,,,,mL_H2_L_h
Ref136,Klebsiella pneumoniae Y7_3,Corn straw,Lignocellulose,37.0,,24,Batch,PureCulture,Batch,0,0,0,0,0,,,0.18,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T3_09,Anaerobic_sludge,Kitchen_waste,,55.0,5.5,,Batch,,Batch,0,1,0,0,0,,,,,79.0,mmol_H2_L_d,"Butyrate,Lactate,Acetate",79.0,mL_H2_L_h
RSE2018_T4_05,Sewage_sludge,Cattle_wastewater,,45.0,5.5,,Batch,,Batch,0,0,0,0,0,,,12.41,mmol_H2_gCOD,0.34,dm3_H2_L_h,"Butyrate,Acetate,Ethanol",340.0,mL_H2_L_h
Zagrodnik2024_SE3_RSC,RSC,DFE,VFA_Effluent,32.0,7.5,15,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,252.0,0.25,2.35,molH2_molSugar,1.67,mL_L-1_h-1,,1.67,mL_H2_L_h
RSE2018_T5_03,Enterobacter_aerogenes_HU101,Glycerol_waste,,37.0,6.8,,Packed_bed,,Continuous,0,0,0,0,0,,,1.12,molH2_molGlycerol,63.0,mmol_H2_L_h,"Ethanol,Acetate,1_3_Propanediol",1411.2,mL_H2_L_h
Ref129,Klebsiella pneumoniae MGH78578,Brewery wastewater,Industrial_Waste,35.0,5.5,72,Batch,PureCulture,Batch,0,0,0,0,0,,,1.235,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T4_05,Sewage_sludge,Cattle_wastewater,,45.0,5.5,,Batch,,Batch,0,0,0,0,0,,,12.41,mmol_H2_gCOD,0.34,dm3_H2_L_h,"Butyrate,Acetate,Ethanol",340.0,mL_H2_L_h
Ref103,Clostridium pasteurianum,Glucose,Simple_Sugar,30.0,7.0,60,Batch,PureCulture,Batch,0,0,0,0,0,,,2.34,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T3_03,Mesophilic_anaerobic_sludge,Organic_municipal_plus_slaughterhouse_waste,,34.0,6.0,,Erlenmeyer_flask,,Continuous,0,0,0,0,0,,,71.3,cm3_H2_gVS,,,"Caproic_acid,Butyrate",,mL_H2_L_h
Ref71,Clostridium butyricum TM-9A,Sugarcane molasses,Industrial_Waste,37.0,7.5,24,Batch,PureCulture,Batch,0,0,0,0,0,,,3.34,molH2_molGlucose,,,,,mL_H2_L_h
Ref114,Clostridium thermocellum DSM1237,Cellulose,Lignocellulose,60.0,7.35,,Batch,PureCulture,Batch,0,1,0,0,0,,,1.3,molH2_molHexose,,,,,mL_H2_L_h
Ref93,Clostridium beijerincki ATCC8260,Sucrose,Disaccharide,37.0,6.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,9.39,molH2_molSucrose,,,,,mL_H2_L_h
RSE2018_T4_04,Anaerobic_sludge,Potato_and_pumpkin_waste_with_buffalo_manure,,35.0,7.5,,Batch,,Batch,0,0,0,0,0,,,135.6,cm3_H2_gVS,,,"Acetate,Propionate,Butyrate",,mL_H2_L_h
Zagrodnik2024_SE8_MPC,MPC,DFE,VFA_Effluent,32.0,7.0,9,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,84.0,0.76,2.34,molH2_molSugar,4.83,mL_L-1_h-1,,4.83,mL_H2_L_h
Ref77,Clostridium butyricum NH-02,Maltose,Disaccharide,30.0,7.0,23,Batch,PureCulture,Batch,0,0,0,0,0,,,1.9,molH2_molMaltose,,,,,mL_H2_L_h
Ref103,Clostridium pasteurianum,Glucose,Simple_Sugar,30.0,7.0,60,Batch,PureCulture,Batch,0,0,0,0,0,,,2.34,molH2_molGlucose,,,,,mL_H2_L_h
Ref123,Enterobacter aerogenes ATCC13408,Glucose,Simple_Sugar,37.0,6.0,,Batch,PureCulture,Nanomaterial_Assisted,0,0,0,0,1,,,1.435,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T6_04,Thermoanaerobacterium_thermosaccharolyticum_M18,Wheat_straw,,60.0,7.0,,Batch,,Batch,0,1,0,0,0,,,3.53,mmol_H2_gSubstrate,0.11,mmol_H2_L_h,"Acetate,Butyrate,Ethanol",2.464,mL_H2_L_h
Zagrodnik2024_SE2_MPC,MPC,Sterile DFE,VFA_Effluent,32.0,7.5,20,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,252.0,0.25,3.3,molH2_molSugar,4.5,mL_L-1_h-1,,4.5,mL_H2_L_h
Ref107,Clostridium pasteurianum,Glycerol,Alcohol,36.0,6.7,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.63,molH2_molGlycerol,,,,,mL_H2_L_h
Ref149B,Escherichia coli XL1_Blue,Glucose,Simple_Sugar,35.0,6.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.96,molH2_molGlucose,,,,,mL_H2_L_h
Ref153,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.15,molH2_molSubstrate,,,,,mL_H2_L_h
Ref105,Clostridium pasteurianum MTCC116,Glucose,Simple_Sugar,37.0,6.6,96,Batch,PureCulture,Batch,0,0,0,0,0,,,0.0036,molH2_molGlucose,,,,,mL_H2_L_h
Ref150,Escherichia coli CECT432 + CECT434 + Enterobacter cloacae,Glycerol,Alcohol,37.0,6.3,72,Batch,CoCulture,Batch,0,0,0,0,0,,,0.0044,molH2_molGlycerol,,,,,mL_H2_L_h
RSE2018_T3_11,Facultative_anaerobic_bacteria,Raw_cassava_starch,,35.0,,,Batch,,Batch,0,0,0,0,0,,,1.44,molH2_molGlucose,,,"Butyrate,Acetate,Ethanol",,mL_H2_L_h
Ref23,Clostridium butyricum DSM2478 + NCIMB8082,Glucose,Simple_Sugar,37.0,6.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,2.09,molH2_molGlucose,,,,,mL_H2_L_h
Ref71,Clostridium butyricum TM-9A,Sugarcane molasses,Industrial_Waste,37.0,7.5,24,Batch,PureCulture,Batch,0,0,0,0,0,,,3.34,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T5_06,Mixed_culture_from_activated_sludge,Brewery_wastewater,,35.0,5.5,,Batch,,Batch,0,0,0,0,0,,,2.0,molH2_molHexose,,,"Butyrate,Acetate,Valeric_acid",,mL_H2_L_h
Ref152,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.33,molH2_molSubstrate,,,,,mL_H2_L_h
Ref92,Clostridium beijerincki NCIMB8052,Glucose,Simple_Sugar,37.0,6.5,,Electrofermentation,PureCulture,Electrofermentation,0,0,1,0,0,,,1.51,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T5_01,Mixed_cultures,Cheese_whey,,35.0,5.2,,Batch,,Batch,0,0,0,0,0,,,0.78,molH2_molGlucose,2.9,dm3_H2_L_d,"Butyrate,Acetate,Lactate",120.8333333,mL_H2_L_h
Ref80,Clostridium butyricum TERI BH05-2 in recombinant E.coli,Glucose,Simple_Sugar,37.0,7.0,48,Batch,Recombinant,Batch,0,0,0,0,0,,,3.2,molH2_molGlucose,,,,,mL_H2_L_h
Ref143,Escherichia coli K12,Garden waste,Lignocellulose,33.0,,,Batch,PureCulture,Batch,0,0,0,0,0,,,2.73,molH2_molCellulose,,,,,mL_H2_L_h
Ref115,Clostridium thermocellum DSM1313,Cellulose,Lignocellulose,60.0,7.0,,Continuous,PureCulture,Continuous,1,1,0,0,0,,,0.985,molH2_molHexose,,,,,mL_H2_L_h
RSE2018_T3_04,Anaerobic_digester_sludge,Kitchen_garbage,,55.0,5.0,,CSTR,,Continuous,0,1,0,0,0,,,66.0,cm3_H2_gVS,1.7,dm3_H2_L_d,"Butyrate,Acetate,Ethanol",70.83333333,mL_H2_L_h
Zagrodnik2024_SE3_RSC,RSC,DFE,VFA_Effluent,32.0,7.5,15,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,252.0,0.25,2.35,molH2_molSugar,1.67,mL_L-1_h-1,,1.67,mL_H2_L_h
Ref147,Escherichia coli BW25113,Glucose,Simple_Sugar,37.0,7.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.05,molH2_molGlucose,,,,,mL_H2_L_h
Ref127,Klebsiella pneumoniae DSM2026,Glycerol,Alcohol,37.0,6.5,24,Batch,PureCulture,Batch,0,0,0,0,0,,,0.8,molH2_molGlycerol,,,,,mL_H2_L_h
Ref147,Escherichia coli BW25113,Glucose,Simple_Sugar,37.0,7.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.05,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T4_01,Mixed_cultures_from_anaerobic_digester,Liquid_swine_manure,,37.0,5.0,,ASBR,,Batch,0,0,0,0,0,,,1.63,molH2_molGlucose,0.1,dm3_H2_L_h,"Acetate,Butyrate",100.0,mL_H2_L_h
